"No.","Time","TCP Delta","Length","Protocol","Stream index","Destination Port","Time since first frame in this TCP stream","Epoch Arrival Time","Info"
"115","21:41:32","0.000044000","44","TCP","2","57057","46.266767000","1726620092.801225000","mbap(502)  >  57057 [ACK] Seq=243 Ack=277 Win=2619392 Len=0"
"116","21:41:32","0.005578000","55","Modbus/TCP","2","57057","46.272345000","1726620092.806803000","Response: Trans:    23; Unit:   3, Func:   4: Read Input Registers"
"117","21:41:32","0.000049000","44","TCP","2","502","46.272394000","1726620092.806852000","57057  >  mbap(502) [ACK] Seq=277 Ack=254 Win=2619392 Len=0"
"118","21:41:34","2.037894000","56","Modbus/TCP","2","502","48.310288000","1726620094.844746000","   Query: Trans:    24; Unit:   3, Func:   4: Read Input Registers"
"119","21:41:34","0.000044000","44","TCP","2","57057","48.310332000","1726620094.844790000","mbap(502)  >  57057 [ACK] Seq=254 Ack=289 Win=2619392 Len=0"
"120","21:41:34","0.005761000","55","Modbus/TCP","2","57057","48.316093000","1726620094.850551000","Response: Trans:    24; Unit:   3, Func:   4: Read Input Registers"
"121","21:41:34","0.000089000","44","TCP","2","502","48.316182000","1726620094.850640000","57057  >  mbap(502) [ACK] Seq=289 Ack=265 Win=2619392 Len=0"
"122","21:41:36","1.967011000","56","Modbus/TCP","2","502","50.283193000","1726620096.817651000","   Query: Trans:    25; Unit:   3, Func:   4: Read Input Registers"
"123","21:41:36","0.000049000","44","TCP","2","57057","50.283242000","1726620096.817700000","mbap(502)  >  57057 [ACK] Seq=265 Ack=301 Win=2619392 Len=0"
"124","21:41:36","0.019735000","55","Modbus/TCP","2","57057","50.302977000","1726620096.837435000","Response: Trans:    25; Unit:   3, Func:   4: Read Input Registers"
"125","21:41:36","0.000043000","44","TCP","2","502","50.303020000","1726620096.837478000","57057  >  mbap(502) [ACK] Seq=301 Ack=276 Win=2619392 Len=0"
"126","21:41:38","1.974433000","56","Modbus/TCP","2","502","52.277453000","1726620098.811911000","   Query: Trans:    26; Unit:   3, Func:   4: Read Input Registers"
"127","21:41:38","0.000075000","44","TCP","2","57057","52.277528000","1726620098.811986000","mbap(502)  >  57057 [ACK] Seq=276 Ack=313 Win=2619392 Len=0"
"128","21:41:38","0.012509000","55","Modbus/TCP","2","57057","52.290037000","1726620098.824495000","Response: Trans:    26; Unit:   3, Func:   4: Read Input Registers"
